# %ECSV 0.9
# ---
# datatype:
# - {name: lambda, unit: nm, datatype: float64}
# - {name: theta, unit: degree, datatype: float64}
# - {name: o0, datatype: float64}
# - {name: o1, datatype: float64}
# - {name: o2, datatype: float64}
# - {name: o3, datatype: float64}
# - {name: o4, datatype: float64}
# - {name: o5, datatype: float64}
# - {name: o6, datatype: float64}
# - {name: o7, datatype: float64}
# - {name: o8, datatype: float64}
# - {name: o9, datatype: float64}
# - {name: o10, datatype: float64}
# - {name: o11, datatype: float64}
# - {name: o12, datatype: float64}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Ralf Heilmann}
#   - {ORIGFILE: Si_4um_deep_30pct_dc.xlsx}
#   - {Description: Calculated grating efficiencies}
#   - {Grating: Si 4 my deep}
lambda theta o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12
0.7 0.8 0.148696908 0.224325461 0.0646797361 0.0362910165 0.0190212313 0.0107278247 0.0222274957 0.0304507525 0.0134681159 0.0078345877 0.0041251897 4.60E-05 9.98E-05
0.7 0.85 0.144330782 0.233859521 0.06265579 0.0362204095 0.0183535684 0.0092752943 0.01755764 0.0252686816 0.0128814186 0.0096483748 0.0085441899 0.0004600974 0.000258564
0.7 0.9 0.14329362 0.242485929 0.060852789 0.036706954 0.0176578501 0.0076867293 0.0129490901 0.0192951315 0.0111488058 0.0103657941 0.0135179773 0.0018022351 0.0003169287
0.7 0.95 0.145556925 0.250281319 0.0594484997 0.0376153496 0.016807477 0.0060579995 0.0088452213 0.0134216088 0.0086721421 0.009773269 0.017525753 0.0041806922 0.0002153843
0.7 1 0.151151548 0.257370194 0.0586108105 0.0387754257 0.0157369206 0.00452172 0.0055590498 0.0083865096 0.0060024273 0.0080476511 0.019167705 0.0071291745 0.0001232188
0.7 1.05 0.159991119 0.26363364 0.058352907 0.0399625984 0.014453464 0.0032021875 0.0032162182 0.0046331481 0.0036502148 0.0056856371 0.017839468 0.0096620449 0.0003257709
0.7 1.1 0.171590352 0.268655321 0.0584936722 0.0408759323 0.0129851087 0.0021635409 0.0017513456 0.0022438174 0.0019134434 0.0033194235 0.0140313445 0.0107403091 0.0009272112
0.7 1.15 0.185037021 0.271982802 0.0587274281 0.0411461037 0.0113413052 0.0014022804 0.0009594211 0.0009890513 0.0008346379 0.0014817091 0.0090851739 0.0098858509 0.0016519161
0.7 1.2 0.199420486 0.273394796 0.0586840049 0.0403829156 0.0095278905 0.0008734063 0.0005775339 0.0004758088 0.0002817078 0.0004164359 0.0045442452 0.007479133 0.0020096772
0.7 1.25 0.21453537 0.273057941 0.0580556882 0.038322979 0.0075911652 0.0005155451 0.0003763551 0.0003244194 6.16E-05 4.52E-05 0.0014781625 0.0045219251 0.0017302033
0.7 1.3 0.23089555 0.271480604 0.0568093811 0.0350270868 0.0056488906 0.0002733201 0.0002420326 0.0002961966 6.42E-06 9.96E-05 0.0001464299 0.0020377195 0.0010259418
0.7 1.35 0.249236058 0.269367436 0.0551622791 0.0308293059 0.0038554495 0.0001153146 0.0001741271 0.0002993298 1.03E-05 0.0002892166 8.53E-05 0.0005665599 0.000384354
0.7 1.4 0.270163029 0.267168476 0.0532824938 0.0261423351 0.0023600294 2.95E-05 0.0002100886 0.0003257246 2.61E-05 0.0004076671 0.0005178278 5.99E-05 0.0001276195
0.7 1.45 0.293542404 0.264505139 0.0511027558 0.0213676086 0.0012792505 2.81E-06 0.0003645593 0.0003894984 3.79E-05 0.0003778314 0.0008204447 0.0001088117 0.0001965336
0.7 1.5 0.318369716 0.260532909 0.0484547343 0.0168237294 0.0006362397 1.70E-05 0.0006054952 0.0004726566 3.87E-05 0.0002443671 0.0007618662 0.0002680785 0.000311381
0.7 1.55 0.343924073 0.254808996 0.0452390318 0.0126777007 0.0003440157 6.11E-05 0.0008527991 0.0005167165 2.81E-05 0.0001075478 0.0004561185 0.0002956006 0.0002753455
0.7 1.6 0.370478201 0.247454046 0.0415309014 0.009035635 0.0002776633 0.0001319289 0.0010149816 0.0004764969 1.52E-05 4.27E-05 0.0001549026 0.0001959564 0.000120714
0.7 1.65 0.398638974 0.238893496 0.0376478103 0.0060565797 0.0003346805 0.0002241184 0.0010347204 0.0003591827 1.07E-05 6.00E-05 2.50E-05 8.27E-05 7.97E-06
0.7 1.7 0.428643111 0.229682404 0.0340059751 0.0038867522 0.0004384044 0.0003200295 0.0009011582 0.0002091635 1.67E-05 0.0001141919 5.16E-05 2.46E-05 2.76E-05
0.7 1.75 0.46018284 0.21997576 0.0307488141 0.0025254652 0.0005342027 0.0003847551 0.0006440065 7.94E-05 2.56E-05 0.0001464035 0.0001144697 1.26E-05 0.0001150835
0.7 1.8 0.492314679 0.20923162 0.0277036091 0.0018274749 0.0005860573 0.000386333 0.0003403157 1.04E-05 2.77E-05 0.0001346918 0.000126722 1.23E-05 0.000151992
0.7 1.85 0.523722445 0.196948331 0.0248006122 0.0016260308 0.0005732898 0.0003315958 0.0001084347 1.33E-05 2.18E-05 0.0001068979 9.10E-05 8.30E-06 0.0001074874
0.7 1.9 0.55433448 0.183407765 0.022150262 0.0017672427 0.0004971552 0.0002541574 3.27E-05 6.22E-05 1.45E-05 8.90E-05 4.79E-05 4.42E-06 3.97E-05
0.7 1.95 0.584856838 0.169156836 0.0198827711 0.0021403861 0.0003912072 0.000177621 0.0001090011 0.0001136948 1.01E-05 7.51E-05 2.21E-05 4.42E-06 7.07E-06
0.7 2 0.615103183 0.154563137 0.0181505372 0.0026556925 0.0002937659 0.0001179524 0.0002621368 0.0001311532 1.03E-05 5.43E-05 1.28E-05 5.23E-06 1.83E-05
0.7 2.05 0.645303497 0.14018944 0.0169388857 0.0031354003 0.0002162256 8.92E-05 0.0003856378 0.0001020395 1.48E-05 2.95E-05 8.69E-06 4.71E-06 3.90E-05
0.7 2.1 0.675289387 0.126141147 0.0159915828 0.0034316436 0.0001626468 8.80E-05 0.0004135209 5.16E-05 1.71E-05 1.75E-05 1.16E-05 2.82E-06 3.63E-05
0.7 2.15 0.703492616 0.112111065 0.0151809773 0.0035245141 0.000137237 0.0001029991 0.0003508553 1.51E-05 1.29E-05 3.30E-05 2.36E-05 4.43E-07 1.78E-05
0.7 2.2 0.729577281 0.0983588803 0.0144864175 0.0034171017 0.0001323568 0.0001177338 0.0002327227 4.41E-06 7.94E-06 6.15E-05 3.16E-05 5.35E-07 7.45E-06
0.7 2.25 0.754229254 0.085150248 0.0137667455 0.0031323913 0.0001309491 0.0001175804 0.0001069553 1.23E-05 9.07E-06 7.36E-05 2.58E-05 3.94E-06 1.16E-05
0.7 2.3 0.777128179 0.0725264367 0.0129986757 0.0027403072 0.0001216113 0.000116366 2.56E-05 2.55E-05 1.90E-05 5.82E-05 1.21E-05 7.94E-06 1.98E-05
0.7 2.35 0.798622495 0.060924551 0.01221499 0.0022832955 0.0001066076 0.0001271263 7.31E-06 3.49E-05 2.94E-05 2.62E-05 2.01E-06 8.09E-06 1.88E-05
0.7 2.4 0.81925648 0.0504981895 0.0112689899 0.0017911502 9.30E-05 0.0001372191 3.33E-05 3.90E-05 2.82E-05 2.30E-06 2.65E-06 3.38E-06 9.57E-06
0.7 2.45 0.836780287 0.0409161154 0.0102084005 0.0013536706 8.84E-05 0.0001449775 7.70E-05 4.01E-05 1.88E-05 8.84E-06 1.12E-05 5.13E-07 6.19E-06
0.7 2.5 0.851458904 0.0323470226 0.0091081771 0.0009871868 0.0001053918 0.0001478809 0.000108026 3.72E-05 1.01E-05 3.37E-05 1.72E-05 3.69E-06 7.99E-06
0.7 2.55 0.864161466 0.0248786798 0.0078825037 0.0006722603 0.0001562883 0.000135877 0.0001135509 2.92E-05 6.36E-06 4.74E-05 1.57E-05 7.63E-06 7.15E-06
